"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"60","Aleksander Gajgier",21,"Centre-Back","Pogon Grodzisk Mazowiecki",630,"30.06.2025","Betclic 2 Liga"
"61","Aleksander Iwanczyk",17,"Defensive Midfield","LKS Lodz",0,"30.06.2027","Betclic 1 Liga"
"63","Aleksander Iwanczyk",17,"Defensive Midfield","LKS Lodz II",290,"30.06.2027","Betclic 2 Liga"
"65","Aleksander Komor",30,"Centre-Back","GKS Katowice",337,"30.06.2025","PKO BP Ekstraklasa"
"66","Aleksander Kubacki",19,"Midfield","Zaglebie Lubin II",174,"-","Betclic 2 Liga"
"67","Aleksander Paluszek",23,"Centre-Back","Slask Wroclaw",144,"30.06.2025","PKO BP Ekstraklasa"
"68","Aleksander Pawlak",22,"Right-Back","LKS Lodz II",180,"30.06.2025","Betclic 2 Liga"
"70","Aleksander Pawlak",22,"Right-Back","LKS Lodz",10,"30.06.2025","Betclic 1 Liga"
"72","Aleksander Piatek",19,"Centre-Back","Zaglebie Sosnowiec",0,"30.06.2025","Betclic 2 Liga"
"73","Aleksander Slezak",31,"Centre-Back","LKS Lodz II",630,"30.06.2025","Betclic 2 Liga"
"74","Aleksander Tobolik",18,"Right Winger","Górnik Zabrze",0,"30.06.2027","PKO BP Ekstraklasa"
"75","Aleksander Wolczek",19,"Defensive Midfield","Slask Wroclaw",0,"30.06.2025","PKO BP Ekstraklasa"
"76","Alex Cetnar",17,"Defensive Midfield","Stal Mielec",0,"30.06.2025","PKO BP Ekstraklasa"
"77","Alex Douglas",23,"Centre-Back","Lech Poznan",630,"30.06.2027","PKO BP Ekstraklasa"
"78","Alexander Gorgon",35,"Attacking Midfield","Pogon Szczecin",429,"30.06.2025","PKO BP Ekstraklasa"
"79","Ali Gholizadeh",28,"Right Winger","Lech Poznan",197,"30.06.2026","PKO BP Ekstraklasa"
"80","Alvis Jaunzems",25,"Right Midfield","Stal Mielec",524,"30.06.2025","PKO BP Ekstraklasa"
"81","Amar Drina",22,"Centre-Back","Miedz Legnica",23,"30.06.2027","Betclic 1 Liga"
