"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"264","Damian Hoyo-Kowalski",18,"Goalkeeper","Hutnik Krakow",120,"-","Betclic 2 Liga"
"265","Damian Jakubik",34,"Right-Back","Radomiak Radom",262,"30.06.2025","PKO BP Ekstraklasa"
"266","Damian Jaron",34,"Attacking Midfield","Pogon Grodzisk Mazowiecki",484,"30.06.2025","Betclic 2 Liga"
"267","Damian Kadzior",32,"Right Winger","Piast Gliwice",411,"30.06.2025","PKO BP Ekstraklasa"
"268","Damian Kostkowski",31,"Centre-Back","Olimpia Grudziadz",675,"-","Betclic 2 Liga"
"269","Damian Kotecki",18,"Midfield","Resovia Rzeszow",1,"30.06.2027","Betclic 2 Liga"
"270","Damian Michalik",32,"Right Winger","Miedz Legnica",0,"30.06.2025","Betclic 1 Liga"
"271","Damian Nowacki",26,"Attacking Midfield","Chojniczanka Chojnice",151,"30.06.2025","Betclic 2 Liga"
"272","Damian Nowak",32,"Centre-Forward","Olimpia Grudziadz",194,"-","Betclic 2 Liga"
"273","Damian Oko",27,"Centre-Back","Stal Stalowa Wola",121,"30.06.2025","Betclic 1 Liga"
"274","Damian Primel",32,"Goalkeeper","Chojniczanka Chojnice",630,"30.06.2025","Betclic 2 Liga"
"275","Damian Rasak",28,"Defensive Midfield","Górnik Zabrze",630,"30.06.2025","PKO BP Ekstraklasa"
"276","Damian Szuprytowski",35,"Attacking Midfield","Pogon Siedlce",477,"30.06.2025","Betclic 1 Liga"
"277","Damian Tront",29,"Defensive Midfield","Miedz Legnica",46,"30.06.2025","Betclic 1 Liga"
"278","Damian Urban",22,"Centre-Back","Stal Stalowa Wola",270,"30.06.2025","Betclic 1 Liga"
"279","Damian Vu Thanh",21,"Defensive Midfield","Olimpia Grudziadz",49,"30.06.2025","Betclic 2 Liga"
"280","Damian Warchol",29,"Attacking Midfield","Gornik Leczna",319,"30.06.2025","Betclic 1 Liga"
"281","Damian Weglarz",28,"Goalkeeper","Arka Gdynia",90,"30.06.2025","Betclic 1 Liga"
"282","Damian Wojdakowski",19,"Left Winger","Jagiellonia Bialystok",0,"31.12.2024","PKO BP Ekstraklasa"
"283","Damian Zbozien",35,"Right-Back","Gornik Leczna",0,"30.06.2025","Betclic 1 Liga"
"284","Dani Pacheco",33,"Defensive Midfield","Wisla Plock",621,"30.06.2025","Betclic 1 Liga"
"285","Dani Vega",27,"Left Winger","Polonia Warsaw",173,"30.06.2026","Betclic 1 Liga"
"286","Danian Pavlas",23,"Left-Back","Resovia Rzeszow",385,"30.06.2025","Betclic 2 Liga"
"287","Daniel Bak",18,"Centre-Forward","Korona Kielce",1,"30.06.2025","PKO BP Ekstraklasa"
"288","Daniel Ciesla",19,"Centre-Back","Bruk-Bet Termalica Nieciecza",86,"30.06.2024","Betclic 1 Liga"
"289","Daniel Dziwniel",32,"Left-Back","Podbeskidzie Bielsko-Biala",444,"30.06.2026","Betclic 2 Liga"
"290","Daniel Håkans",23,"Left Winger","Lech Poznan",236,"30.06.2028","PKO BP Ekstraklasa"
"291","Daniel Hoyo-Kowalski",21,"Centre-Back","Hutnik Krakow",512,"-","Betclic 2 Liga"
"292","Daniel Kaminski",23,"Left Midfield","Rekord Bielsko-Biala",98,"-","Betclic 2 Liga"
"293","Daniel Mikolajewski",25,"Centre-Back","Wieczysta Krakow",630,"30.06.2026","Betclic 2 Liga"
"294","Daniel Pik",24,"Right Winger","Pogon Siedlce",431,"30.06.2025","Betclic 1 Liga"
"295","Daniel Rumin",27,"Right Winger","GKS Tychy",381,"30.06.2026","Betclic 1 Liga"
"296","Daniel Sandoval",26,"Left Winger","Wieczysta Krakow",243,"30.06.2026","Betclic 2 Liga"
"297","Daniel Scislak",24,"Central Midfield","Polonia Bytom",280,"30.06.2025","Betclic 2 Liga"
"298","Daniel Slobodzian",17,"Goalkeeper","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"299","Daniel Stanclik",24,"Centre-Forward","Znicz Pruszkow",429,"30.06.2025","Betclic 1 Liga"
"300","Daniel Swiderski",29,"Centre-Forward","Rekord Bielsko-Biala",567,"30.06.2026","Betclic 2 Liga"
"301","Daniel Szczepan",29,"Centre-Forward","Ruch Chorzow",602,"30.06.2027","Betclic 1 Liga"
"302","Danijel Loncar",27,"Centre-Back","Pogon Szczecin",1,"30.06.2026","PKO BP Ekstraklasa"
"303","Danny Babor",18,"Centre-Forward","Pogon Siedlce",45,"30.06.2025","Betclic 1 Liga"
"304","Danny Trejo",26,"Attacking Midfield","Korona Kielce",129,"30.06.2026","PKO BP Ekstraklasa"
"305","Dante Stipica",33,"Goalkeeper","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"306","Dariusz Kaminski",25,"Right Winger","Chojniczanka Chojnice",385,"30.06.2025","Betclic 2 Liga"
"307","Dariusz Pawlowski",25,"Right-Back","Radomiak Radom",0,"30.06.2025","PKO BP Ekstraklasa"
"308","Darko Churlinov",24,"Left Winger","Jagiellonia Bialystok",380,"30.06.2025","PKO BP Ekstraklasa"
"309","David Ezeh",18,"Centre-Forward","Raków Częstochowa",0,"30.06.2025","PKO BP Ekstraklasa"
"310","Davíd Kristján Ólafsson",29,"Left Midfield","Cracovia",560,"30.06.2026","PKO BP Ekstraklasa"
"311","David Niepsuj",29,"Right Midfield","Wisla Plock",263,"30.06.2025","Betclic 1 Liga"
"312","David Ogaga",22,"Left-Back","Gornik Leczna",298,"30.06.2025","Betclic 1 Liga"
"313","Dawid Abramowicz",33,"Left-Back","Puszcza Niepolomice",630,"30.06.2026","PKO BP Ekstraklasa"
"314","Dawid Arndt",22,"Goalkeeper","Chrobry Glogow",90,"30.06.2026","Betclic 1 Liga"
"315","Dawid Blanik",27,"Left Winger","Korona Kielce",127,"30.06.2026","PKO BP Ekstraklasa"
"316","Dawid Burka",25,"Centre-Back","Pogon Siedlce",212,"30.06.2025","Betclic 1 Liga"
"317","Dawid Czaplinski",17,"Midfield","Olimpia Elblag",94,"-","Betclic 2 Liga"
"318","Dawid Czaplinski",32,"Attacking Midfield","Odra Opole",23,"30.06.2025","Betclic 1 Liga"
"319","Dawid Danilczyk",23,"Defensive Midfield","Olimpia Elblag",0,"30.06.2025","Betclic 2 Liga"
"320","Dawid Drachal",19,"Attacking Midfield","Raków Częstochowa",178,"30.06.2028","PKO BP Ekstraklasa"
"321","Dawid Dziegielewski",31,"Attacking Midfield","Pogon Grodzisk Mazowiecki",52,"30.06.2025","Betclic 2 Liga"
"322","Dawid Fornalik",20,"Right-Back","Swit Szczecin",45,"-","Betclic 2 Liga"
"323","Dawid Gojny",30,"Left-Back","Arka Gdynia",720,"30.06.2026","Betclic 1 Liga"
"324","Dawid Gruszecki",18,"Centre-Forward","Zaglebie Lubin II",286,"-","Betclic 2 Liga"
"325","Dawid Hanc",22,"Left Midfield","Chrobry Glogow",329,"30.06.2026","Betclic 1 Liga"
"326","Dawid Kiedrowicz",20,"Left Winger","Wieczysta Krakow",71,"30.06.2025","Betclic 2 Liga"
"327","Dawid Kisly",23,"Left-Back","Swit Szczecin",396,"30.06.2026","Betclic 2 Liga"
"328","Dawid Kocyla",22,"Attacking Midfield","Wisla Plock",411,"31.12.2024","Betclic 1 Liga"
"329","Dawid Kogut",16,"Defensive Midfield","Puszcza Niepolomice",0,"-","PKO BP Ekstraklasa"
"330","Dawid Kort",29,"Attacking Midfield","Swit Szczecin",135,"-","Betclic 2 Liga"
"331","Dawid Kudla",32,"Goalkeeper","GKS Katowice",630,"30.06.2025","PKO BP Ekstraklasa"
"332","Dawid Kurminowski",25,"Centre-Forward","Zaglebie Lubin",335,"30.06.2025","PKO BP Ekstraklasa"
"333","Dawid Lacki",19,"Centre-Forward","Stal Stalowa Wola",167,"30.06.2026","Betclic 1 Liga"
"334","Dawid Lic",17,"Goalkeeper","Chojniczanka Chojnice",0,"-","Betclic 2 Liga"
"335","Dawid Olejarka",22,"Attacking Midfield","Wisla Kraków",0,"30.06.2026","Betclic 1 Liga"
"336","Dawid Olszak",18,"Goalkeeper","Gornik Leczna",0,"30.06.2026","Betclic 1 Liga"
"337","Dawid Pakulski",26,"Defensive Midfield","Wieczysta Krakow",0,"20.06.2025","Betclic 2 Liga"
"338","Dawid Pedzialek",26,"Goalkeeper","GKS Jastrzebie",0,"-","Betclic 2 Liga"
"339","Dawid Pieniazek",19,"Attacking Midfield","Resovia Rzeszow",60,"30.06.2025","Betclic 2 Liga"
"340","Dawid Rychta",18,"Goalkeeper","Piast Gliwice",0,"30.06.2025","PKO BP Ekstraklasa"
"341","Dawid Sciuk",19,"Centre-Back","Podbeskidzie Bielsko-Biala",0,"30.06.2025","Betclic 2 Liga"
"342","Dawid Szalecki",24,"Midfield","Olimpia Elblag",568,"30.06.2025","Betclic 2 Liga"
"343","Dawid Szot",23,"Right-Back","Wisla Kraków",0,"30.06.2025","Betclic 1 Liga"
"344","Dawid Szymonowicz",29,"Centre-Back","Puszcza Niepolomice",114,"30.06.2026","PKO BP Ekstraklasa"
"345","Dawid Tkacz",19,"Attacking Midfield","Stal Mielec",48,"30.06.2025","PKO BP Ekstraklasa"
"346","Dawid Wierzba",23,"Centre-Back","Olimpia Elblag",269,"30.06.2024","Betclic 2 Liga"
"347","Dawid Wolny",30,"Centre-Forward","Odra Opole",299,"30.06.2025","Betclic 1 Liga"
"348","Denis Matyskiewicz",17,"Defensive Midfield","GKS Tychy",0,"30.06.2026","Betclic 1 Liga"
"349","Denis Ventura",29,"Defensive Midfield","Ruch Chorzow",712,"30.06.2026","Betclic 1 Liga"
"350","Deniss Rakels",32,"Left Winger","Hutnik Krakow",563,"30.06.2025","Betclic 2 Liga"
"351","Diego Deisadze",19,"Defensive Midfield","Bruk-Bet Termalica Nieciecza",0,"-","Betclic 1 Liga"
"352","Din Sula",26,"Centre-Forward","Odra Opole",0,"30.06.2025","Betclic 1 Liga"
"353","Dino Hotic",29,"Right Winger","Lech Poznan",356,"30.06.2026","PKO BP Ekstraklasa"
"354","Dmytro Sydorenko",21,"Goalkeeper","Pogon Grodzisk Mazowiecki",630,"30.06.2025","Betclic 2 Liga"
"355","Dmytro Yukhymovych",28,"Centre-Back","Znicz Pruszkow",107,"30.06.2025","Betclic 1 Liga"
"356","Dominick Zator",29,"Right-Back","Korona Kielce",0,"30.06.2025","PKO BP Ekstraklasa"
"357","Dominik Frelek",22,"Central Midfield","Olimpia Grudziadz",665,"30.06.2026","Betclic 2 Liga"
"358","Dominik Gregorski",18,"Attack","Zaglebie Lubin II",276,"-","Betclic 2 Liga"
"359","Dominik Hladun",28,"Goalkeeper","Zaglebie Lubin",540,"30.06.2027","PKO BP Ekstraklasa"
"360","Dominik Jonczy",27,"Centre-Back","Stal Stalowa Wola",613,"30.06.2025","Betclic 1 Liga"
"361","Dominik Kalinowski",26,"Goalkeeper","Pogon Grodzisk Mazowiecki",0,"30.06.2025","Betclic 2 Liga"
"362","Dominik Konieczny",27,"Centre-Back","Polonia Bytom",493,"30.06.2025","Betclic 2 Liga"
"363","Dominik Koscielniak",29,"Right Midfield","Stal Stalowa Wola",0,"-","Betclic 1 Liga"
"364","Dominik Kozera",20,"Centre-Forward","Olimpia Elblag",484,"30.06.2025","Betclic 2 Liga"
"365","Dominik Kun",31,"Defensive Midfield","Wisla Plock",704,"30.06.2026","Betclic 1 Liga"
"366","Dominik Lemka",19,"Attacking Midfield","Chojniczanka Chojnice",0,"-","Betclic 2 Liga"
"367","Dominik Marczuk",20,"Right Winger","Jagiellonia Bialystok",546,"31.12.2028","PKO BP Ekstraklasa"
"368","Dominik Pila",23,"Right-Back","Lechia Gdansk",539,"30.06.2025","PKO BP Ekstraklasa"
"369","Dominik Polap",24,"Right-Back","GKS Tychy",185,"30.06.2025","Betclic 1 Liga"
"370","Dominik Sokol",25,"Right Midfield","Znicz Pruszkow",682,"-","Betclic 1 Liga"
"371","Dominik Stanny",19,"Goalkeeper","Stal Stalowa Wola",0,"-","Betclic 1 Liga"
"372","Dominik Szala",18,"Centre-Back","Górnik Zabrze",242,"30.06.2028","PKO BP Ekstraklasa"
"373","Dominykas Barauskas",27,"Left-Back","Gornik Leczna",598,"30.06.2025","Betclic 1 Liga"
"374","Dorian Fratczak",27,"Goalkeeper","Hutnik Krakow",630,"30.06.2025","Betclic 2 Liga"
"375","Dusan Kuciak",39,"Goalkeeper","Raków Częstochowa",0,"30.06.2025","PKO BP Ekstraklasa"
"376","Dusan Stojinovic",24,"Centre-Back","Jagiellonia Bialystok",121,"30.06.2025","PKO BP Ekstraklasa"
"377","Edvin Muratovic",27,"Centre-Forward","Odra Opole",363,"30.06.2026","Betclic 1 Liga"
"378","Efthymios Koulouris",28,"Centre-Forward","Pogon Szczecin",522,"30.06.2026","PKO BP Ekstraklasa"
"379","Egzon Kryeziu",24,"Attacking Midfield","Gornik Leczna",0,"30.06.2026","Betclic 1 Liga"
"380","Elias Andersson",28,"Left-Back","Lech Poznan",109,"30.06.2026","PKO BP Ekstraklasa"
"381","Elias Olsson",21,"Centre-Back","Lechia Gdansk",530,"30.06.2026","PKO BP Ekstraklasa"
"382","Emmanuel Agbor",21,"Centre-Forward","Zaglebie Sosnowiec",358,"30.06.2025","Betclic 2 Liga"
"383","Enis Fazlagic",24,"Defensive Midfield","Wisla Kraków",0,"30.06.2026","Betclic 1 Liga"
"384","Eric Topor",19,"Goalkeeper","Pogon Siedlce",90,"30.06.2025","Betclic 1 Liga"
"385","Erick Otieno",27,"Left Midfield","Raków Częstochowa",291,"31.12.2026","PKO BP Ekstraklasa"
"386","Erik Janza",31,"Left-Back","Górnik Zabrze",540,"30.06.2026","PKO BP Ekstraklasa"
"387","Erion Hoxhallari",28,"Centre-Back","Polonia Warsaw",438,"30.06.2026","Betclic 1 Liga"
"388","Ernest Dzieciol",26,"Centre-Back","Pogon Siedlce",448,"30.06.2025","Betclic 1 Liga"
"389","Ernest Terpilowski",22,"Attacking Midfield","Polonia Warsaw",344,"30.06.2026","Betclic 1 Liga"
"390","Erwin Bahonko",19,"Defensive Midfield","Pogon Grodzisk Mazowiecki",167,"30.06.2025","Betclic 2 Liga"
"391","Eryk Marcinkowski",19,"Centre-Back","Chrobry Glogow",190,"30.06.2026","Betclic 1 Liga"
"392","Eryk Mikolajewski",21,"Centre-Back","Polonia Warsaw",0,"30.06.2025","Betclic 1 Liga"
"393","Evgeniy Shikavka",31,"Centre-Forward","Korona Kielce",394,"30.06.2025","PKO BP Ekstraklasa"
"394","Fabian Blejwas",16,"Centre-Back","Stal Rzeszow",0,"-","Betclic 1 Liga"
"395","Fabian Borysiuk",18,"Goalkeeper","LKS Lodz II",0,"30.06.2025","Betclic 2 Liga"
"396","Fabian Bzdyl",16,"Attacking Midfield","Cracovia",0,"30.06.2026","PKO BP Ekstraklasa"
"397","Fabian Hiszpanski",30,"Left Midfield","Wisla Plock",425,"30.06.2026","Betclic 1 Liga"
"398","Fabian Piasecki",29,"Centre-Forward","Piast Gliwice",283,"31.12.2026","PKO BP Ekstraklasa"
"399","Fábio Nunes",32,"Left Winger","Widzew Lodz",0,"30.06.2025","PKO BP Ekstraklasa"
"400","Farid Ali",32,"Right Winger","GKS Jastrzebie",119,"30.06.2025","Betclic 2 Liga"
"401","Filip Becht",22,"Left-Back","Chojniczanka Chojnice",90,"30.06.2025","Betclic 2 Liga"
"402","Filip Bednarek",31,"Goalkeeper","Lech Poznan",0,"30.06.2025","PKO BP Ekstraklasa"
"403","Filip Borowski",20,"Right Midfield","Ruch Chorzow",1,"30.06.2025","Betclic 1 Liga"
"404","Filip Chadala",20,"Goalkeeper","Miedz Legnica",0,"30.06.2026","Betclic 1 Liga"
"405","Filip Dagerstal",27,"Centre-Back","Lech Poznan",0,"30.06.2025","PKO BP Ekstraklasa"
"406","Filip Gil",17,"Centre-Back","Puszcza Niepolomice",0,"31.12.2025","PKO BP Ekstraklasa"
"407","Filip Jagiello",27,"Central Midfield","Lech Poznan",48,"30.06.2027","PKO BP Ekstraklasa"
"408","Filip Jakubowski",19,"Centre-Back","Warta Poznan",5,"-","Betclic 1 Liga"
"409","Filip Jania",20,"Left Winger","Hutnik Krakow",586,"-","Betclic 2 Liga"
"410","Filip Karbowy",27,"Attacking Midfield","Piast Gliwice",0,"30.06.2025","PKO BP Ekstraklasa"
"411","Filip Kasprzykowski",19,"Centre-Back","Olimpia Elblag",0,"-","Betclic 2 Liga"
"412","Filip Kendzia",27,"Centre-Back","Znicz Pruszkow",0,"30.06.2025","Betclic 1 Liga"
"413","Filip Kocaba",19,"Defensive Midfield","Zaglebie Lubin II",90,"30.06.2025","Betclic 2 Liga"
"416","Filip Kocaba",19,"Defensive Midfield","Zaglebie Lubin",0,"30.06.2025","PKO BP Ekstraklasa"
"419","Filip Kocaba",19,"Defensive Midfield","Arka Gdynia",90,"30.06.2025","Betclic 1 Liga"
"422","Filip Koperski",20,"Right-Back","Lechia Gdansk",0,"30.06.2026","PKO BP Ekstraklasa"
"423","Filip Kozlowski",29,"Centre-Forward","Kotwica Kolobrzeg",546,"30.06.2025","Betclic 1 Liga"
"424","Filip Kramarz",20,"Goalkeeper","Skra Czestochowa",180,"-","Betclic 2 Liga"
"425","Filip Luberecki",19,"Left-Back","Motor Lublin",528,"31.12.2025","PKO BP Ekstraklasa"
"426","Filip Majchrowicz",24,"Goalkeeper","Górnik Zabrze",0,"30.06.2026","PKO BP Ekstraklasa"
"427","Filip Mikrut",20,"Centre-Forward","Resovia Rzeszow",194,"30.06.2025","Betclic 2 Liga"
"428","Filip Mosek",16,"Midfield","Chojniczanka Chojnice",0,"-","Betclic 2 Liga"
"429","Filip Rejczyk",18,"Central Midfield","Slask Wroclaw",160,"30.06.2026","PKO BP Ekstraklasa"
"430","Filip Rozga",18,"Attacking Midfield","Cracovia",427,"30.06.2026","PKO BP Ekstraklasa"
"431","Filip Rzepka",20,"Right-Back","Olimpia Grudziadz",0,"-","Betclic 2 Liga"
"432","Filip Starzynski",33,"Attacking Midfield","Ruch Chorzow",275,"30.06.2025","Betclic 1 Liga"
"433","Filip Szabaciuk",21,"Centre-Back","Gornik Leczna",477,"30.06.2026","Betclic 1 Liga"
"434","Filip Sznajder",18,"Midfield","Olimpia Elblag",0,"-","Betclic 2 Liga"
"435","Filip Szymczak",22,"Centre-Forward","Lech Poznan",164,"30.06.2027","PKO BP Ekstraklasa"
"436","Filip Tonder",19,"Attacking Midfield","Warta Poznan",14,"30.06.2026","Betclic 1 Liga"
"437","Filip Walus",19,"Attacking Midfield","Warta Poznan",337,"30.06.2026","Betclic 1 Liga"
"438","Filip Wojcik",27,"Right-Back","Motor Lublin",305,"30.06.2025","PKO BP Ekstraklasa"
"439","Filip Wojcik",23,"Right Midfield","Olimpia Grudziadz",0,"30.06.2026","Betclic 2 Liga"
"440","Filip Zagiel",25,"Right Winger","Polonia Bytom",0,"30.06.2025","Betclic 2 Liga"
"441","Filip Zawadzki",20,"Central Midfield","Resovia Rzeszow",242,"30.06.2026","Betclic 2 Liga"
"442","Filipe Nascimento",29,"Defensive Midfield","Górnik Zabrze",359,"30.06.2025","PKO BP Ekstraklasa"
"443","Filipe Oliveira",30,"Attacking Midfield","Kotwica Kolobrzeg",720,"30.06.2025","Betclic 1 Liga"
"444","Florian Hartherz",31,"Left-Back","Miedz Legnica",611,"30.06.2026","Betclic 1 Liga"
"445","Fran Álvarez",26,"Attacking Midfield","Widzew Lodz",547,"30.06.2025","PKO BP Ekstraklasa"
"446","Fran Tudor",28,"Right Midfield","Raków Częstochowa",579,"30.06.2027","PKO BP Ekstraklasa"
"447","Francisco Ramos",29,"Defensive Midfield","Radomiak Radom",0,"30.06.2025","PKO BP Ekstraklasa"
"448","Franciszek Antkiewicz",20,"Left Winger","Zaglebie Lubin II",314,"-","Betclic 2 Liga"
"449","Franciszek Liszka",21,"Defensive Midfield","Podbeskidzie Bielsko-Biala",0,"-","Betclic 2 Liga"
"450","Franciszek Luczuk",17,"Central Midfield","Wisla Pulawy",195,"30.06.2026","Betclic 2 Liga"
"451","Franciszek Polowiec",21,"Right-Back","Stal Rzeszow",0,"30.06.2025","Betclic 1 Liga"
"452","Franciszek Rynkiewicz",16,"Goalkeeper","LKS Lodz II",0,"-","Betclic 2 Liga"
"453","Franciszek Saganowski",18,"Right-Back","LKS Lodz II",400,"30.06.2027","Betclic 2 Liga"
"454","Frantisek Plach",32,"Goalkeeper","Piast Gliwice",630,"30.06.2026","PKO BP Ekstraklasa"
"455","Frederico Duarte",25,"Attacking Midfield","Wisla Kraków",268,"30.06.2026","Betclic 1 Liga"
"456","Fredrik Ulvestad",32,"Defensive Midfield","Pogon Szczecin",520,"30.06.2026","PKO BP Ekstraklasa"
"457","Fryderyk Gerbowski",21,"Attacking Midfield","Stal Mielec",276,"30.06.2025","PKO BP Ekstraklasa"
"458","Fryderyk Janaszek",20,"Attacking Midfield","Gornik Leczna",257,"30.06.2025","Betclic 1 Liga"
"459","Gabriel Estigarribia",26,"Centre-Back","Chrobry Glogow",0,"30.06.2025","Betclic 1 Liga"
"460","Gabriel Isik",25,"Centre-Back","Bruk-Bet Termalica Nieciecza",279,"-","Betclic 1 Liga"
"461","Gabriel Kirejczyk",21,"Centre-Forward","Piast Gliwice",14,"30.06.2026","PKO BP Ekstraklasa"
"462","Gabriel Kobylak",22,"Goalkeeper","Legia Warszawa",135,"30.06.2027","PKO BP Ekstraklasa"
"463","Gerard Bieszczad",31,"Goalkeeper","Stal Rzeszow",0,"30.06.2025","Betclic 1 Liga"
"464","Giannis Kiakos",26,"Left-Back","Wisla Kraków",378,"30.06.2025","Betclic 1 Liga"
"465","Gleb Kuchko",19,"Attacking Midfield","Wisla Plock",0,"30.06.2027","Betclic 1 Liga"
"466","Glib Bukhal",28,"Centre-Back","Resovia Rzeszow",630,"30.06.2025","Betclic 2 Liga"
"467","Gracjan Antkowiak",21,"Midfield","Chrobry Glogow",0,"-","Betclic 1 Liga"
"468","Gracjan Czapniewski",16,"Right-Back","Resovia Rzeszow",0,"30.06.2026","Betclic 2 Liga"
"469","Gracjan Jaroch",26,"Attacking Midfield","Resovia Rzeszow",503,"30.06.2025","Betclic 2 Liga"
"470","Gracjan Sajdak",16,"Midfield","GKS Jastrzebie",0,"-","Betclic 2 Liga"
"471","Grzegorz Aftyka",26,"Right Winger","Swit Szczecin",178,"-","Betclic 2 Liga"
"472","Grzegorz Drazik",31,"Goalkeeper","GKS Jastrzebie",630,"30.06.2026","Betclic 2 Liga"
"473","Grzegorz Gulczynski",28,"Centre-Back","Pogon Grodzisk Mazowiecki",0,"30.06.2025","Betclic 2 Liga"
"474","Grzegorz Janiszewski",28,"Centre-Back","Zaglebie Sosnowiec",630,"30.06.2026","Betclic 2 Liga"
"475","Grzegorz Rogala",28,"Left Midfield","GKS Katowice",594,"30.06.2026","PKO BP Ekstraklasa"
"476","Grzegorz Skowronski",35,"Centre-Back","Pogon Grodzisk Mazowiecki",29,"30.06.2025","Betclic 2 Liga"
"477","Grzegorz Szymusik",26,"Right-Back","Polonia Bytom",528,"30.06.2026","Betclic 2 Liga"
"478","Grzegorz Tomasiewicz",28,"Defensive Midfield","Piast Gliwice",630,"30.06.2025","PKO BP Ekstraklasa"
"479","Guilherme Zimovski",19,"Right Winger","Radomiak Radom",65,"30.06.2026","PKO BP Ekstraklasa"
"480","Gustav Berggren",26,"Defensive Midfield","Raków Częstochowa",630,"30.06.2025","PKO BP Ekstraklasa"
"481","Henrich Ravas",27,"Goalkeeper","Cracovia",630,"30.06.2028","PKO BP Ekstraklasa"
"482","Hide Vitalucci",22,"Attacking Midfield","Arka Gdynia",303,"30.06.2027","Betclic 1 Liga"
"483","Hilary Gong",25,"Right Winger","Widzew Lodz",182,"30.06.2026","PKO BP Ekstraklasa"
"484","Hubert Adamczyk",26,"Attacking Midfield","Arka Gdynia",24,"30.06.2026","Betclic 1 Liga"
"486","Hubert Adamczyk",26,"Attacking Midfield","Zaglebie Lubin",7,"30.06.2026","PKO BP Ekstraklasa"
"488","Hubert Brysiak",19,"Centre-Back","Znicz Pruszkow",0,"30.06.2025","Betclic 1 Liga"
"489","Hubert Idasiak",22,"Goalkeeper","LKS Lodz II",270,"30.06.2026","Betclic 2 Liga"
"491","Hubert Idasiak",22,"Goalkeeper","LKS Lodz",0,"30.06.2026","Betclic 1 Liga"
"493","Hubert Sadowski",24,"Centre-Back","Skra Czestochowa",540,"-","Betclic 2 Liga"
"494","Hubert Sliczniak",17,"Goalkeeper","Slask Wroclaw",0,"30.06.2027","PKO BP Ekstraklasa"
"495","Hubert Sobol",24,"Centre-Forward","Widzew Lodz",55,"30.06.2026","PKO BP Ekstraklasa"
"496","Hubert Tomalski",31,"Left Winger","Puszcza Niepolomice",44,"30.06.2026","PKO BP Ekstraklasa"
"497","Hubert Turski",21,"Centre-Forward","Gornik Leczna",46,"30.06.2025","Betclic 1 Liga"
"498","Hubert Zwozny",20,"Right-Back","Korona Kielce",596,"30.06.2025","PKO BP Ekstraklasa"
"499","Hubert Zyrek",18,"Midfield","Rekord Bielsko-Biala",453,"-","Betclic 2 Liga"
"500","Husein Balic",28,"Left Winger","LKS Lodz",126,"30.06.2026","Betclic 1 Liga"
"501","Ian Hoffmann",22,"Left-Back","Lech Poznan",1,"30.06.2027","PKO BP Ekstraklasa"
"502","Iban Salvador",28,"Left Midfield","Wisla Plock",160,"30.06.2026","Betclic 1 Liga"
"503","Ignace Abdelhamid",18,"Attacking Midfield","Wisla Plock",0,"30.06.2026","Betclic 1 Liga"
"504","Igor Bartnik",19,"Goalkeeper","Motor Lublin",0,"30.06.2025","PKO BP Ekstraklasa"
"505","Igor Brzyski",17,"Defensive Midfield","Lech Poznan",0,"30.06.2025","PKO BP Ekstraklasa"
"506","Igor Drapinski",20,"Centre-Back","Piast Gliwice",278,"30.06.2026","PKO BP Ekstraklasa"
"507","Igor Fedejko",21,"Midfield","Stal Stalowa Wola",19,"-","Betclic 1 Liga"
"508","Igor Korczakowski",25,"Left Midfield","Pogon Grodzisk Mazowiecki",130,"30.06.2025","Betclic 2 Liga"
"509","Igor Kosmicki",21,"Centre-Back","Korona Kielce",180,"30.06.2025","PKO BP Ekstraklasa"
"510","Igor Lambrecht",20,"Centre-Back","LKS Lodz II",0,"30.06.2025","Betclic 2 Liga"
"511","Igor Lasicki",29,"Centre-Back","Wisla Kraków",152,"30.06.2025","Betclic 1 Liga"
"512","Igor Lawrynowicz",21,"Left-Back","Skra Czestochowa",658,"30.06.2025","Betclic 2 Liga"
"513","Igor Maruszak",21,"Right-Back","Olimpia Grudziadz",180,"-","Betclic 2 Liga"
"514","Igor Orlikowski",18,"Centre-Back","Zaglebie Lubin",575,"30.06.2028","PKO BP Ekstraklasa"
"515","Igor Pieprzyca",15,"Defensive Midfield","Puszcza Niepolomice",0,"30.06.2026","PKO BP Ekstraklasa"
"516","Igor Sapala",28,"Defensive Midfield","Wisla Kraków",234,"30.06.2025","Betclic 1 Liga"
"517","Igor Stanczak",17,"Right Midfield","Warta Poznan",0,"-","Betclic 1 Liga"
"518","Igor Strzalek",20,"Attacking Midfield","Bruk-Bet Termalica Nieciecza",114,"30.06.2025","Betclic 1 Liga"
"520","Igor Strzalek",20,"Attacking Midfield","Legia Warszawa",46,"30.06.2025","PKO BP Ekstraklasa"
"522","Igors Tarasovs",35,"Centre-Back","Hutnik Krakow",379,"30.06.2025","Betclic 2 Liga"
"523","İlkay Durmuş",30,"Left Midfield","Polonia Warsaw",599,"30.06.2026","Betclic 1 Liga"
"524","Ilya Postupalskyi",19,"Defensive Midfield","Stal Rzeszow",0,"30.06.2026","Betclic 1 Liga"
"525","Ilya Shkurin",25,"Centre-Forward","Stal Mielec",607,"30.06.2026","PKO BP Ekstraklasa"
